Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
38918,2,11170555,600,서울,용산구,청파동,2018,2
38958,2,11170560,725,서울,용산구,원효로1동,2018,2
38984,2,11170570,461,서울,용산구,원효로2동,2018,2
39015,2,11170580,505,서울,용산구,효창동,2018,2
39034,2,11170590,596,서울,용산구,용문동,2018,2
39057,2,11170625,929,서울,용산구,한강로동,2018,2
39086,2,11170630,512,서울,용산구,이촌1동,2018,2
39140,2,11170640,448,서울,용산구,이촌2동,2018,2
39160,2,11170650,1077,서울,용산구,이태원1동,2018,2
39171,2,11170660,706,서울,용산구,이태원2동,2018,2
39189,2,11170685,674,서울,용산구,한남동,2018,2
39227,2,11170690,587,서울,용산구,서빙고동,2018,2
39253,2,11170700,467,서울,용산구,보광동,2018,2
57999,3,11170510,462,서울,용산구,후암동,2018,2
58034,3,11170520,493,서울,용산구,용산2가동,2018,2
58058,3,11170530,887,서울,용산구,남영동,2018,2
58071,3,11170555,601,서울,용산구,청파동,2018,2
58111,3,11170560,724,서울,용산구,원효로1동,2018,2
58137,3,11170570,465,서울,용산구,원효로2동,2018,2
58168,3,11170580,506,서울,용산구,효창동,2018,2
58187,3,11170590,601,서울,용산구,용문동,2018,2
58210,3,11170625,928,서울,용산구,한강로동,2018,2
58239,3,11170630,510,서울,용산구,이촌1동,2018,2
58293,3,11170640,449,서울,용산구,이촌2동,2018,2
58313,3,11170650,1049,서울,용산구,이태원1동,2018,2
58324,3,11170660,704,서울,용산구,이태원2동,2018,2
58342,3,11170685,673,서울,용산구,한남동,2018,2
58380,3,11170690,588,서울,용산구,서빙고동,2018,2
58406,3,11170700,468,서울,용산구,보광동,2018,2
77151,4,11170510,464,서울,용산구,후암동,2018,2
77186,4,11170520,493,서울,용산구,용산2가동,2018,2
77210,4,11170530,908,서울,용산구,남영동,2018,2
77223,4,11170555,603,서울,용산구,청파동,2018,2
77263,4,11170560,727,서울,용산구,원효로1동,2018,2
77289,4,11170570,461,서울,용산구,원효로2동,2018,2
77320,4,11170580,506,서울,용산구,효창동,2018,2
77339,4,11170590,600,서울,용산구,용문동,2018,2
77362,4,11170625,939,서울,용산구,한강로동,2018,2
77391,4,11170630,513,서울,용산구,이촌1동,2018,2
77445,4,11170640,444,서울,용산구,이촌2동,2018,2
77465,4,11170650,1033,서울,용산구,이태원1동,2018,2
77476,4,11170660,707,서울,용산구,이태원2동,2018,2
77494,4,11170685,681,서울,용산구,한남동,2018,2
77532,4,11170690,591,서울,용산구,서빙고동,2018,2
77558,4,11170700,469,서울,용산구,보광동,2018,2
96303,5,11170510,458,서울,용산구,후암동,2018,2
96338,5,11170520,495,서울,용산구,용산2가동,2018,2
96362,5,11170530,968,서울,용산구,남영동,2018,2
96375,5,11170555,603,서울,용산구,청파동,2018,2
96415,5,11170560,728,서울,용산구,원효로1동,2018,2
96441,5,11170570,462,서울,용산구,원효로2동,2018,2
96472,5,11170580,507,서울,용산구,효창동,2018,2
96491,5,11170590,588,서울,용산구,용문동,2018,2
96514,5,11170625,989,서울,용산구,한강로동,2018,2
96543,5,11170630,533,서울,용산구,이촌1동,2018,2
96597,5,11170640,452,서울,용산구,이촌2동,2018,2
96617,5,11170650,1028,서울,용산구,이태원1동,2018,2
96628,5,11170660,707,서울,용산구,이태원2동,2018,2
96646,5,11170685,692,서울,용산구,한남동,2018,2
96684,5,11170690,620,서울,용산구,서빙고동,2018,2
96710,5,11170700,466,서울,용산구,보광동,2018,2
115455,6,11170510,452,서울,용산구,후암동,2018,2
115490,6,11170520,495,서울,용산구,용산2가동,2018,2
115514,6,11170530,1104,서울,용산구,남영동,2018,2
115527,6,11170555,608,서울,용산구,청파동,2018,2
115567,6,11170560,734,서울,용산구,원효로1동,2018,2
115593,6,11170570,454,서울,용산구,원효로2동,2018,2
115624,6,11170580,523,서울,용산구,효창동,2018,2
115643,6,11170590,569,서울,용산구,용문동,2018,2
